iter	Logloss
0	0.691339215
1	0.6891813088
2	0.686974083
3	0.6849119234
4	0.6832752532
5	0.6815674184
6	0.6793901847
7	0.6773676264
8	0.675445375
9	0.6732385532
10	0.6718245301
11	0.6696979221
12	0.6677770471
13	0.666236315
14	0.664462665
15	0.6631381386
16	0.6611927696
17	0.6597783187
18	0.6583040926
19	0.6565618396
20	0.6543595054
21	0.6524714393
22	0.6509632628
23	0.6494872407
24	0.6478019851
25	0.6464480509
26	0.6446804997
27	0.6420195885
28	0.6406280354
29	0.638880972
30	0.6365912207
31	0.6340324796
32	0.6320491248
33	0.6297208352
34	0.6279146757
35	0.6261146258
36	0.6251922364
37	0.6235177555
38	0.6224418883
39	0.6209496757
40	0.6193093571
41	0.6177093064
42	0.616543673
43	0.6149999859
44	0.613552424
45	0.6121738905
46	0.6111297894
47	0.6098305957
48	0.6078999323
49	0.6067655945
50	0.6052623407
51	0.6038091656
52	0.6026589799
53	0.6012257602
54	0.6001952716
55	0.5987504362
56	0.5969991328
57	0.5956201205
58	0.5944445696
59	0.5930286052
60	0.5916601112
61	0.590665254
62	0.5890791838
63	0.5884303679
64	0.5872783844
65	0.5860004282
66	0.584884992
67	0.5834057411
68	0.5820445806
69	0.5807374456
70	0.5796349233
71	0.5785553363
72	0.5765502637
73	0.5751983884
74	0.5738997855
75	0.5724230326
76	0.5711095513
77	0.5696449565
78	0.567788266
79	0.5668309965
80	0.5656868418
81	0.5646699718
82	0.5635652321
83	0.5620367289
84	0.5606290043
85	0.5588401962
86	0.5570643829
87	0.5558332338
88	0.5544715529
89	0.5531327022
90	0.5520860374
91	0.5509743255
92	0.5496787783
93	0.5480354161
94	0.5466189444
95	0.5461581886
96	0.5450872813
97	0.5436970993
98	0.5429947398
99	0.5416881564
100	0.5404434673
101	0.5388888401
102	0.5380234313
103	0.5365605466
104	0.5348604579
105	0.5331058979
106	0.5323739596
107	0.5315567968
108	0.5306468662
109	0.5299080163
110	0.5289063353
111	0.5281851752
112	0.5270746609
113	0.5258663635
114	0.5250529933
115	0.5241237879
116	0.5229190479
117	0.5220085585
118	0.5209906665
119	0.5201488754
120	0.5187711428
121	0.5177445006
122	0.5167797502
123	0.5158712513
124	0.5147164798
125	0.5142421418
126	0.5130724227
127	0.5118745319
128	0.5106280503
129	0.5097137854
130	0.5089459266
131	0.5078720773
132	0.5067832931
133	0.5061129667
134	0.5054812578
135	0.504390963
136	0.5032756929
137	0.5023162445
138	0.5008903463
139	0.4999594409
140	0.4991571923
141	0.498591649
142	0.4975796769
143	0.4968680676
144	0.4963116927
145	0.4955264803
146	0.4950173715
147	0.4944194702
148	0.4934639824
149	0.4926757049
150	0.4920269526
151	0.4914108858
152	0.4909149443
153	0.4902201475
154	0.4893010141
155	0.4885924477
156	0.4878595409
157	0.4873560052
158	0.4860690335
159	0.4850954754
160	0.4843545143
161	0.4838053144
162	0.4828569053
163	0.4817038899
164	0.4805739994
165	0.4797574231
166	0.4790487608
167	0.4781036856
168	0.4775282227
169	0.4766262631
170	0.4755799643
171	0.4746607568
172	0.4738552071
173	0.4727090881
174	0.4716604934
175	0.4710114705
176	0.4701737016
177	0.4693735384
178	0.4689041797
179	0.4682516614
180	0.467341678
181	0.4667296504
182	0.4658551224
183	0.4654330654
184	0.4644655264
185	0.463666714
186	0.4631945217
187	0.4624452946
188	0.4618648782
189	0.4606301528
190	0.4598754887
191	0.458861658
192	0.4583075875
193	0.4576526214
194	0.4568486893
195	0.4561664339
196	0.4555960916
197	0.454714924
198	0.4539633696
199	0.4534451968
200	0.4524116155
201	0.4515778567
202	0.4508663999
203	0.4503744309
204	0.449813439
205	0.4491786825
206	0.4484881375
207	0.4475377798
208	0.4466337689
209	0.4460742766
210	0.4453162585
211	0.4446521579
212	0.4441913537
213	0.4433617105
214	0.4428098728
215	0.4425008929
216	0.4416479362
217	0.4410785063
218	0.4402895593
219	0.4396747682
220	0.4392528329
221	0.438771783
222	0.4385242024
223	0.4375772292
224	0.4372311032
225	0.4363823196
226	0.4358972337
227	0.4353068673
228	0.4346769646
229	0.4341130586
230	0.4336046341
231	0.4328210711
232	0.4324087371
233	0.4317340778
234	0.4308815386
235	0.4302152579
236	0.4299720961
237	0.4291506731
238	0.4282498075
239	0.4274923141
240	0.4268873267
241	0.4264063159
242	0.4256986932
243	0.4250936376
244	0.4242503988
245	0.4236588398
246	0.423056964
247	0.4222230344
248	0.4214256209
249	0.4208661543
250	0.4202157171
251	0.419547342
252	0.4190673206
253	0.4183088748
254	0.4178728487
255	0.4171282333
256	0.4167785867
257	0.4162124776
258	0.4155148713
259	0.4152003283
260	0.4142850816
261	0.4136445196
262	0.4132759659
263	0.4124422851
264	0.4118589697
265	0.4111532154
266	0.4106476952
267	0.4098628417
268	0.4094325711
269	0.409073217
270	0.4085990188
271	0.4081711647
272	0.407370586
273	0.4069746106
274	0.4064949204
275	0.4059910264
276	0.4056471122
277	0.4052842278
278	0.4049762368
279	0.4047057048
280	0.404176868
281	0.4032843263
282	0.4027128616
283	0.4022204834
284	0.4019127763
285	0.4013068992
286	0.40030519
287	0.3996227402
288	0.3993318586
289	0.3985286648
290	0.3979784823
291	0.3977626736
292	0.3968079463
293	0.3964253768
294	0.3955190153
295	0.3951246552
296	0.3945607292
297	0.3941948611
298	0.3933006644
299	0.3928519246
300	0.3921863413
301	0.391520586
302	0.391251789
303	0.3907225005
304	0.3904001669
305	0.3898503959
306	0.3892108757
307	0.3886518188
308	0.3877874615
309	0.3871355723
310	0.3867805852
311	0.3864187603
312	0.3859883018
313	0.3855994984
314	0.3849908145
315	0.3846230307
316	0.3842148929
317	0.3837452417
318	0.383456998
319	0.3827888683
320	0.3823691267
321	0.3819601349
322	0.3816973655
323	0.3811717847
324	0.3808357205
325	0.3803802073
326	0.3800486264
327	0.3792306843
328	0.3789030785
329	0.3785325763
330	0.3780828795
331	0.3775867312
332	0.3767372782
333	0.3759775556
334	0.3752796917
335	0.374943606
336	0.3747815801
337	0.3745331083
338	0.3739123567
339	0.3733277375
340	0.3730930551
341	0.3721582369
342	0.3716624234
343	0.3713380871
344	0.3708902901
345	0.3703005078
346	0.3700423697
347	0.3697012186
348	0.369236058
349	0.3685703047
350	0.3681855235
351	0.3678025033
352	0.3672827024
353	0.3669183244
354	0.3664726931
355	0.3662902342
356	0.3655475591
357	0.3652561828
358	0.364926112
359	0.3643815209
360	0.3638499789
361	0.3635626961
362	0.363256278
363	0.3629662672
364	0.3626697211
365	0.3619656337
366	0.3615840907
367	0.3611581784
368	0.3608713456
369	0.3604536378
370	0.3599201319
371	0.3595563197
372	0.3588912122
373	0.3582557751
374	0.3577623393
375	0.3574730811
376	0.3572656385
377	0.3570481394
378	0.3567452915
379	0.3564091908
380	0.3556111595
381	0.3548885522
382	0.3545968372
383	0.3540045782
384	0.3536478786
385	0.3532095518
386	0.3526579795
387	0.3522453158
388	0.3514488124
389	0.3511905701
390	0.3508667583
391	0.3505613529
392	0.3502544457
393	0.3499485555
394	0.3494293021
395	0.3488953057
396	0.3486400768
397	0.3480466441
398	0.3476365359
399	0.347463655
400	0.3471761818
401	0.3466553139
402	0.3464048559
403	0.3457478272
404	0.3450648616
405	0.3444245833
406	0.3441412972
407	0.343744025
408	0.3433339712
409	0.3429807826
410	0.3425481786
411	0.342240268
412	0.3418587472
413	0.3417941899
414	0.3415499368
415	0.3411991648
416	0.3409497782
417	0.3405010343
418	0.3403031761
419	0.3398124259
420	0.3395884055
421	0.3393342386
422	0.338559697
423	0.33830184
424	0.3378347513
425	0.3375488634
426	0.3373584934
427	0.3371698027
428	0.336877182
429	0.3365388883
430	0.3360500704
431	0.3356691988
432	0.3353192485
433	0.3348985099
434	0.3344712377
435	0.3341834071
436	0.3338878917
437	0.3335992419
438	0.3332265976
439	0.3326354856
440	0.3322788153
441	0.3320139172
442	0.3317923069
443	0.331368381
444	0.3312555469
445	0.3310806254
446	0.3308876382
447	0.3304887121
448	0.3301916283
449	0.3300108793
450	0.3295949488
451	0.3292565019
452	0.3290736476
