iter	Passed	Remaining
418	2660	3689
419	2667	3683
420	2673	3677
421	2680	3670
422	2686	3664
423	2692	3657
424	2698	3651
425	2705	3644
426	2710	3637
427	2716	3631
428	2723	3624
429	2729	3618
430	2736	3612
431	2742	3605
432	2748	3599
433	2754	3592
434	2761	3586
435	2767	3579
436	2773	3572
437	2779	3566
438	2785	3559
439	2791	3552
440	2797	3546
441	2803	3539
442	2809	3532
443	2816	3526
444	2822	3520
445	2828	3513
446	2835	3507
447	2841	3501
448	2848	3495
449	2854	3488
450	2860	3482
451	2866	3475
452	2872	3468
453	2878	3462
454	2885	3456
455	2892	3450
456	2898	3443
457	2904	3436
458	2910	3430
459	2916	3423
460	2922	3417
461	2929	3411
462	2936	3405
463	2942	3399
464	2949	3393
465	2955	3386
466	2961	3380
467	2968	3373
468	2974	3367
469	2980	3361
470	2987	3355
471	2993	3348
472	2999	3341
473	3007	3337
474	3013	3331
475	3023	3327
476	3032	3324
477	3043	3323
478	3050	3318
479	3058	3313
480	3065	3308
481	3072	3302
482	3079	3296
483	3086	3290
484	3094	3285
485	3100	3279
486	3107	3273
487	3113	3267
488	3120	3260
489	3127	3254
490	3133	3248
491	3140	3242
492	3146	3236
493	3153	3229
494	3159	3223
495	3168	3219
496	3175	3213
497	3182	3207
498	3188	3201
499	3195	3195
500	3201	3189
501	3207	3182
502	3214	3175
503	3220	3169
504	3226	3163
505	3233	3156
506	3240	3150
507	3247	3144
508	3254	3139
509	3261	3133
510	3268	3127
511	3275	3121
512	3282	3115
513	3289	3110
514	3295	3103
515	3302	3097
516	3309	3091
517	3315	3085
518	3322	3079
519	3329	3073
520	3336	3067
521	3342	3060
522	3349	3054
523	3355	3048
524	3362	3041
525	3368	3035
526	3373	3027
527	3379	3021
528	3386	3014
529	3392	3008
530	3398	3001
531	3404	2995
532	3411	2988
533	3417	2981
534	3423	2975
535	3429	2969
536	3436	2962
537	3442	2955
538	3448	2949
539	3454	2942
540	3461	2936
541	3467	2930
542	3473	2923
543	3480	2917
544	3486	2910
545	3492	2903
546	3498	2897
547	3504	2890
548	3511	2884
549	3518	2878
550	3525	2872
551	3532	2866
552	3540	2861
553	3547	2855
554	3553	2848
555	3559	2842
556	3565	2836
557	3571	2829
558	3578	2822
559	3584	2816
560	3590	2809
561	3597	2803
562	3603	2796
563	3609	2790
564	3615	2783
565	3621	2777
566	3627	2770
567	3634	2764
568	3640	2757
569	3646	2751
570	3652	2744
571	3658	2737
572	3665	2731
573	3671	2724
574	3677	2718
575	3683	2711
576	3689	2704
577	3696	2699
578	3703	2692
579	3709	2686
580	3716	2680
581	3722	2673
582	3729	2667
583	3735	2660
584	3741	2654
585	3748	2648
586	3754	2641
587	3760	2634
588	3766	2628
589	3772	2621
590	3778	2615
591	3784	2608
592	3790	2601
593	3797	2595
594	3803	2588
595	3809	2582
596	3815	2575
597	3821	2568
598	3827	2562
599	3833	2555
600	3839	2549
601	3846	2542
602	3852	2536
603	3858	2529
604	3864	2522
605	3870	2516
606	3876	2509
607	3882	2503
608	3888	2496
609	3894	2489
610	3900	2483
611	3907	2477
612	3913	2470
613	3919	2463
614	3925	2457
615	3931	2450
616	3937	2444
617	3943	2437
618	3950	2431
619	3956	2424
620	3962	2418
621	3968	2412
622	3975	2405
623	3981	2398
624	3987	2392
625	3993	2386
626	3999	2379
627	4005	2372
628	4012	2366
629	4018	2360
630	4025	2353
631	4031	2347
632	4039	2342
633	4052	2339
634	4059	2333
635	4065	2326
636	4071	2320
637	4078	2313
638	4084	2307
639	4090	2300
640	4096	2294
641	4103	2288
642	4109	2281
643	4115	2274
644	4121	2268
645	4127	2262
646	4134	2255
647	4141	2249
648	4148	2243
649	4156	2237
650	4163	2232
651	4171	2226
652	4179	2220
653	4187	2215
654	4194	2209
655	4201	2203
656	4208	2197
657	4215	2191
658	4222	2184
659	4229	2178
660	4236	2172
661	4243	2166
662	4250	2160
663	4256	2153
664	4263	2147
665	4269	2141
666	4276	2135
667	4283	2128
668	4290	2122
669	4297	2116
670	4304	2110
671	4311	2104
672	4318	2098
673	4324	2091
674	4331	2085
675	4338	2079
676	4345	2073
677	4351	2066
678	4358	2060
679	4365	2054
680	4372	2048
681	4378	2041
682	4385	2035
683	4391	2028
684	4397	2022
685	4404	2015
686	4410	2009
687	4416	2002
688	4422	1996
689	4428	1989
690	4435	1983
691	4441	1976
692	4447	1970
693	4454	1963
694	4460	1957
695	4466	1951
696	4473	1944
697	4479	1938
698	4485	1931
699	4491	1925
700	4498	1918
701	4504	1912
702	4510	1905
703	4516	1898
704	4522	1892
705	4528	1885
706	4534	1879
707	4541	1872
708	4547	1866
709	4553	1859
710	4560	1853
711	4566	1847
712	4572	1840
713	4579	1834
714	4585	1827
715	4591	1821
716	4598	1814
717	4604	1808
718	4610	1802
719	4617	1795
720	4623	1789
721	4629	1782
722	4636	1776
723	4642	1769
724	4649	1763
725	4655	1757
726	4662	1750
727	4668	1744
728	4675	1737
729	4681	1731
730	4687	1724
731	4693	1718
732	4699	1712
733	4706	1705
734	4713	1699
735	4719	1692
736	4725	1686
737	4731	1679
738	4738	1673
739	4745	1667
740	4751	1660
741	4758	1654
742	4764	1648
743	4771	1641
744	4777	1635
745	4783	1628
746	4790	1622
747	4796	1616
748	4803	1609
749	4809	1603
750	4816	1596
751	4822	1590
752	4828	1583
753	4835	1577
754	4842	1571
755	4848	1564
756	4854	1558
757	4862	1552
758	4869	1546
759	4876	1539
760	4882	1533
761	4888	1526
762	4895	1520
763	4901	1514
764	4908	1507
765	4915	1501
766	4921	1495
767	4927	1488
768	4934	1482
769	4941	1475
770	4947	1469
771	4953	1463
772	4960	1456
773	4966	1450
774	4973	1443
775	4979	1437
776	4986	1431
777	4992	1424
778	4999	1418
779	5006	1411
780	5012	1405
781	5018	1399
782	5024	1392
783	5031	1386
784	5038	1379
785	5045	1373
786	5057	1368
787	5065	1362
788	5072	1356
789	5079	1350
790	5085	1343
