link,hotel_name_
https://www.booking.com/hotel/ph/meranti.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=112&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=147682701_270501868_0_2_0&highlighted_blocks=147682701_270501868_0_2_0&matching_block_id=147682701_270501868_0_2_0&sr_pri_blocks=147682701_270501868_0_2_0__307918&from=searchresults#hotelTmpl,Privato Quezon City - Multiple Use Hotel
https://www.booking.com/hotel/ph/tryp-by-wyndham-mall-of-asia-manila.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=113&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=259726212_104681561_2_2_0&highlighted_blocks=259726212_104681561_2_2_0&matching_block_id=259726212_104681561_2_2_0&sr_pri_blocks=259726212_104681561_2_2_0__972000&from=searchresults#hotelTmpl,TRYP by Wyndham Mall of Asia Manila
https://www.booking.com/hotel/ph/lotus-garden.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=114&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=23946426_138318422_0_1_0&highlighted_blocks=23946426_138318422_0_1_0&matching_block_id=23946426_138318422_0_1_0&sr_pri_blocks=23946426_138318422_0_1_0__223158&from=searchresults#hotelTmpl,Manila Lotus Hotel - Multiple Use Hotel
https://www.booking.com/hotel/ph/leez-inn-makati.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=115&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=515128301_335376578_0_2_0&highlighted_blocks=515128301_335376578_0_2_0&matching_block_id=515128301_335376578_0_2_0&sr_pri_blocks=515128301_335376578_0_2_0__119306&from=searchresults#hotelTmpl,Leez Inn Makati
https://www.booking.com/hotel/ph/go-hotels-mandaluyong.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=116&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=91066802_288673731_0_42_0&highlighted_blocks=91066802_288673731_0_42_0&matching_block_id=91066802_288673731_0_42_0&sr_pri_blocks=91066802_288673731_0_42_0__142003&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Go Hotels Mandaluyong
https://www.booking.com/hotel/ph/infinity-tower-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=117&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=237836511_207124283_2_1_0&highlighted_blocks=237836511_207124283_2_1_0&matching_block_id=237836511_207124283_2_1_0&sr_pri_blocks=237836511_207124283_2_1_0__252450&from=searchresults#hotelTmpl,Infinity Tower Suites
https://www.booking.com/hotel/ph/go-hotels-timog.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=118&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=274439401_261894713_0_0_0&highlighted_blocks=274439401_261894713_0_0_0&matching_block_id=274439401_261894713_0_0_0&sr_pri_blocks=274439401_261894713_0_0_0__149400&from=searchresults#hotelTmpl,Go Hotels Timog
https://www.booking.com/hotel/ph/lime-resort-manila.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=119&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=815778001_344041830_0_2_0&highlighted_blocks=815778001_344041830_0_2_0&matching_block_id=815778001_344041830_0_2_0&sr_pri_blocks=815778001_344041830_0_2_0__375870&from=searchresults#hotelTmpl,Lime Resort Manila
https://www.booking.com/hotel/ph/winford-and-casino.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=120&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=175343103_295727164_0_1_0&highlighted_blocks=175343103_295727164_0_1_0&matching_block_id=175343103_295727164_0_1_0&sr_pri_blocks=175343103_295727164_0_1_0__513109&from=searchresults#hotelTmpl,Winford Manila Resort and Casino
https://www.booking.com/hotel/ph/centara-manila.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAEJuAEXyAEM2AEB6AEB-AELiAIBqAIDuALa9-ebBsACAdICJDNiMWUxMTlhLTc3ODEtNGI3NC05MWVlLTQ5MDA0MDQzYzY5NNgCBuACAQ&sid=b3a20c12be6b3d4d9b1b0a71b11d8898&aid=304142&ucfs=1&arphpl=1&checkin=2022-12-01&checkout=2022-12-02&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=121&sr_order=popularity&nflt=ht_id%3D204&srpvid=7ca3572c9035002e&srepoch=1669119861&all_sr_blocks=34697301_88828015_2_2_0&highlighted_blocks=34697301_88828015_2_2_0&matching_block_id=34697301_88828015_2_2_0&sr_pri_blocks=34697301_88828015_2_2_0__237811&from=searchresults#hotelTmpl,Armada Hotel Manila
