,links,hotel_name,location,distance,count
10,https://www.booking.com/hotel/ph/jenny-n-rose-condo.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=925921101_364388121_2_2_0&highlighted_blocks=925921101_364388121_2_2_0&matching_block_id=925921101_364388121_2_2_0&sr_pri_blocks=925921101_364388121_2_2_0__139545&tpi_r=2&from=searchresults#hotelTmpl,Jenny N Rose Condo Hotel,Manila,7.5 km from centre,0
11,https://www.booking.com/hotel/ph/airobedz-makati.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=793010103_0_2_0_0&highlighted_blocks=793010103_0_2_0_0&matching_block_id=793010103_0_2_0_0&sr_pri_blocks=793010103_0_2_0_0__1781&tpi_r=1&from=searchresults#hotelTmpl,airobedz BGC - near Uptown,"Makati, Manila",8.2 km from centre,0
12,https://www.booking.com/hotel/ph/the-exchange-regency-residence.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__3085&tpi_r=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,The Exchange Regency Residence Hotel Managed by HII,"Pasig, Manila",8.7 km from centre,0
13,https://www.booking.com/hotel/ph/khotel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=713263801_298289289_0_0_0&highlighted_blocks=713263801_298289289_0_0_0&matching_block_id=713263801_298289289_0_0_0&sr_pri_blocks=713263801_298289289_0_0_0__158400&tpi_r=2&from=searchresults#hotelTmpl,KHoTEL,"Pasay, Manila",8.4 km from centre,0
14,https://www.booking.com/hotel/ph/wow-budget-cubao-quezon-city.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=848607701_352017315_2_0_0&highlighted_blocks=848607701_352017315_2_0_0&matching_block_id=848607701_352017315_2_0_0&sr_pri_blocks=848607701_352017315_2_0_0__83700&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Wow Budget Cubao By SMS Hospitality,"Quezon City, Manila",7.4 km from centre,0
15,https://www.booking.com/hotel/ph/golden-phoenix-manila.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=132563104_0_2_0_0&highlighted_blocks=132563104_0_2_0_0&matching_block_id=132563104_0_2_0_0&sr_pri_blocks=132563104_0_2_0_0__6118&tpi_r=1&from=searchresults#hotelTmpl,Golden Phoenix Hotel - Manila,"Pasay, Manila",7.2 km from centre,0
16,https://www.booking.com/hotel/ph/hop-inn-alabang-manila.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=354539102_0_2_0_0&highlighted_blocks=354539102_0_2_0_0&matching_block_id=354539102_0_2_0_0&sr_pri_blocks=354539102_0_2_0_0__2486&tpi_r=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hop Inn Hotel Alabang Manila,"Muntinlupa City, Manila",19.4 km from centre,0
17,https://www.booking.com/hotel/ph/airport-hostel-manila.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=677602006_277300270_2_0_0&highlighted_blocks=677602006_277300270_2_0_0&matching_block_id=677602006_277300270_2_0_0&sr_pri_blocks=677602006_277300270_2_0_0__117000&tpi_r=2&from=searchresults#hotelTmpl,Airport Hostel Manila,"Pasay, Manila",7.1 km from centre,0
18,https://www.booking.com/hotel/ph/the-studio-18-residences.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=49662301_0_2_0_0&highlighted_blocks=49662301_0_2_0_0&matching_block_id=49662301_0_2_0_0&sr_pri_blocks=49662301_0_2_0_0__2363&tpi_r=1&from=searchresults#hotelTmpl,The Studio 18 Residences,"Pasig, Manila",8.6 km from centre,0
19,https://www.booking.com/hotel/ph/kabayan-pasay.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaLQBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuALP2NGbBsACAdICJGRiYTg5ODViLTY0OWYtNDJmMC05MmQ2LTQzYTNhOTM0OGMzNtgCBeACAQ&sid=62995f74fed87079ecbbad21978f8cb9&aid=304142&ucfs=1&arphpl=1&checkin=2022-11-25&checkout=2022-11-26&dest_id=-2437894&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e9da55d35eaa04a2&srepoch=1668773545&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__3015&tpi_r=1&from=searchresults#hotelTmpl,Kabayan Hotel Pasay,"Pasay, Manila",6.8 km from centre,0
